email_date,email_subject,company_1,eval_1,company_2,eval_2,company_3,eval_3,notes
5/11/2025,Daily Market Movers: Global Majors & Industry (11 May 2025),Liquidia Corporation,26%,ASP Isotopes,16%,Lexicon Pharmaceuticals,15%,
3/23/2026,Daily Market Movers: Global Majors & Industry (23 Mar 2026),Galecto,27%,Allogene Therapeutics,18%,ImmunityBio,11%,
3/23/2026,Weekly Asia Market Movers: Global Majors & Industry (23 Mar 2026),Medigen Vaccines Biologics,50%,TiumBio,47%,OPTUS Pharmaceutical,37%,
3/24/2026,Daily Market Movers: Global Majors & Industry (24 Mar 2026),Centessa Pharmaceuticals,8%,Sumitomo Pharma,7%,Celanese,7%,
3/25/2026,Daily Market Movers: Global Majors & Industry (25 Mar 2026),Sarepta Therapeutics,35%,Corcept Therapeutics,20%,Summit Therapeutics,15%,
3/26/2026,Market Movers: Global Majors & Industry (26 Mar 2026),Kodiak Sciences,75%,Precigen,25%,Crescent Biopharma,15%,
3/30/2026,Daily Market Movers: Global Majors & Industry (30 Mar 2026),United Therapeutics,12%,Idorsia,8%,Alvotech,6%,
3/30/2026,Weekly Asia Market Movers: Global Majors & Industry (30 Mar 2026),Helixmith,58%,Bukwang Pharmaceutical,50%,CStone Pharmaceuticals,41%,
3/31/2026,Daily Market Movers: Global Majors & Industry (31 Mar 2026),Apellis Pharmaceuticals,135%,Centessa Pharmaceuticals,44%,Precigen,20%,31 Mar: Company announces they will apply for accelerated approval from the FDA for Mitapivat for the treatment of sickle cell disease.
4/1/2026,Daily Market Movers: Global Majors & Industry (01 Apr 2026),Kodiak Sciences,12%,Soleno Therapeutics,10%,Dermapharm Holding,10%,
4/3/2026,Weekly Market Movers: Global Majors & Industry (03 Apr 2026),Insmed,13%,Natera,12%,Illumina,9%,
4/6/2026,Weekly Asia Market Movers: Global Majors & Industry (06 APR 2026),Sichuan Huiyu Pharmaceutical,34%,Regencell Bioscience,30%,Caliway Biopharmaceuticals,22%,
4/6/2026,Daily Market Movers: Global Majors & Industry (06 Apr 2026),Genomma Lab Internacional,4%,Inventiva,3%,Krka Group,3%,
4/7/2026,Daily Market Movers: Global Majors & Industry (07 Apr 2026),Prelude Therapeutics,20%,AC Immune,15%,Armata Pharmaceuticals,13%,
4/8/2026,Daily Market Movers: Global Majors & Industry (08 Apr 2026),AxoGen,10%,Mitsui Chemicals,10%,Mitsubishi Chemical,9%,
4/9/2026,Daily Market Movers: Global Majors & Industry (09 Apr 2026),Zentalis Pharmaceuticals,60%,Invivyd,31%,Forte Biosciences,28%,
4/13/2026,Weekly Asia Market Movers: Global Majors & Industry (13 Apr 2026),Unitika,63%,Medipost,25%,ToolGen,23%,
4/13/2026,Weekly Market Movers: Global Majors & Industry (13 Apr 2026),Zentalis Pharmaceuticals,146%,TuHURA Biosciences,57%,Organon,46%,
4/13/2026,Daily Market Movers: Global Majors & Industry (13 Apr 2026),Revolution Medicines,41%,TuHURA Biosciences,26%,Spyre Therapeutics,23%,
4/14/2026,Daily Market Movers: Global Majors & Industry (14 Apr 2026),Unitika,23%,Twist Bioscience,14%,Ironwood Pharmaceuticals,11%,
4/15/2026,Daily Market Movers: Global Majors & Industry (15 Apr 2026),Mineralys Therapeutics,11%,Legend Biotech,10%,Spyre Therapeutics,8%,
4/16/2026,Daily Market Movers: Global Majors & Industry (16 Apr 2026),Achieve Life Sciences,35%,Artiva Biotherapeutics,33%,Unitika,24%,16 Apr: JPMorgan upgrades rating to neutral from underweight.
4/17/2026,Weekly Market Movers: Global Majors & Industry (17 Apr 2026),Revolution Medicines,54%,Taysha Gene Therapies,43%,Spyre Therapeutics,42%,
4/17/2026,Daily Market Movers: Global Majors & Industry (17 Apr 2026),HST Global,892%,Nkarta Therapeutics,24%,Candel Therapeutics,24%,
4/20/2026,Weekly Asia Market Movers: Global Majors & Industry (20 Apr 2026),CARsgen Therapeutics,41%,Lin Bioscience,26%,Qurient Therapeutics,19%,
4/20/2026,Daily Market Movers: Global Majors & Industry (20 Apr 2026),AtaiBeckley,22%,Nektar Therapeutics,18%,GH Research,18%,20 Apr: Shares rise after company completes phase III DIAMOND trials for OCS-01.
4/21/2026,Daily Market Movers: Global Majors & Industry (21 Apr 2026),Arcus Biosciences,8%,BioNTech,6%,Tango Therapeutics,5%,
4/22/2026,Daily Market Movers: Global Majors & Industry (22 Apr 2026),Inhibrx Biosciences,37%,Canopy Growth,21%,Helus Pharma,17%,22 Apr: Shares rise following cannabis reclassification report.
4/23/2026,Daily Market Movers: Global Majors & Industry (23 Apr 2026),Replimune,26%,West Pharmaceutical Services,13%,Vitrolife,12%,
4/24/2026,Weekly Market Movers: Global Majors & Industry (24 Apr 2026),Inhibrx Biosciences,46%,COMPASS Pathways,44%,Crescent Biopharma,17%,
4/24/2026,Daily Market Movers: Global Majors & Industry (24 Apr 2026),Organon,31%,Denka Company,8%,GH Research,8%,
4/27/2026,Weekly Asia Market Movers: Global Majors & Industry (27 Apr 2026),STCube,21%,Frontier Biotechnologies,19%,OliX Pharmaceuticals,13%,
4/27/2026,Daily Market Movers: Global Majors & Industry (27 Apr 2026),Sagimet Biosciences,39%,Absci,23%,Organon,17%,
4/28/2026,Daily Market Movers: Global Majors & Industry (28 Apr 2026),Kiniksa Pharmaceuticals,23%,Revolution Medicines,10%,WAVE Life Sciences,8%,
4/29/2026,Daily Market Movers: Global Majors & Industry (29 Apr 2026),ICON,13%,DCC,9%,Biogen,6%,29 Apr: Ingrezza KINECT clinical program publication.
4/30/2026,Daily Market Movers: Global Majors & Industry (30 Apr 2026),Glaukos,23%,Prelude Therapeutics,22%,,
5/1/2026,Weekly Market Movers: Global Majors & Industry (01 May 2026),Toyota Tsusho,12%,Revolution Medicines,9%,CVS Health,5%,
5/4/2026,Daily Market Movers: Global Majors & Industry (04 May 2026),Celcuity,20%,Cullinan Therapeutics,18%,Ardelyx,15%,4 May: Q1'26 revenue of $164.9m.
5/4/2026,Weekly Asia Market Movers: Global Majors & Industry (04 May 2026),LG Chem,13%,Yakult Honsha,13%,Teva Pharmaceutical Industries,13%,
5/5/2026,Daily Market Movers: Global Majors & Industry (05 May 2026),Edgewise Therapeutics,21%,Cytokinetics,17%,BillionToOne,11%,5 May: Q1 revenue $194m.
